이름,전화번호,이메일,거주지,나이,회원등급,선호카테고리,구매횟수,총구매금액,유입채널,가입일
최민준,010-5506-5012,최민준38@naver.com,경상남도 창원시 성산구,56,Bronze,도서·문구 / 전자제품,1,150000,제휴몰,2024-01-18
조동현,010-7873-4611,조동현67@company.co.kr,인천광역시 남동구 구월동,32,Silver,뷰티·헬스 / 생활용품,5,1340000,직접방문,2020-02-13
최수빈,010-6635-5333,최수빈15@daum.net,대구광역시 수성구 범어동,46,Bronze,스포츠 / 가구·인테리어,20,5660000,검색광고,2020-11-08
임지호,010-4814-2654,임지호58@kakao.com,부산광역시 남구 대연동,45,Bronze,뷰티·헬스 / 패션의류,9,2630000,SNS,2024-12-08
강성민,010-7216-5422,강성민91@company.co.kr,경기도 안양시 동안구,42,Gold,전자제품 / 생활용품,2,500000,검색광고,2021-10-23
한하은,010-9179-7482,한하은92@daum.net,경기도 고양시 일산동구,30,Bronze,스포츠 / 도서·문구,19,6640000,이메일,2022-04-05
안유진,010-2489-1771,안유진24@naver.com,경상남도 창원시 성산구,49,Silver,도서·문구 / 식품·음료,20,6170000,제휴몰,2020-11-24
최동현,010-5371-6573,최동현24@kakao.com,부산광역시 해운대구 우동,51,Bronze,스포츠 / 뷰티·헬스,6,2340000,직접방문,2024-10-07
정수빈,010-3646-9837,정수빈77@gmail.com,대구광역시 달서구 성당동,53,Bronze,뷰티·헬스 / 가구·인테리어,10,1820000,제휴몰,2020-02-24
황지호,010-9727-3060,황지호26@daum.net,대구광역시 수성구 범어동,38,Silver,도서·문구 / 패션의류,18,4370000,이메일,2022-08-17
권수아,010-5061-4681,권수아18@kakao.com,서울특별시 종로구 혜화동,36,Bronze,전자제품 / 생활용품,3,590000,검색광고,2024-04-09
황하은,010-9834-3167,황하은83@company.co.kr,부산광역시 해운대구 우동,52,Gold,식품·음료 / 전자제품,4,1090000,이메일,2023-12-02
최서연,010-7596-6559,최서연23@naver.com,경기도 수원시 영통구,56,Silver,도서·문구 / 패션의류,9,2410000,검색광고,2023-09-04
이동현,010-1241-2528,이동현40@naver.com,부산광역시 수영구 광안동,52,Bronze,도서·문구 / 전자제품,6,1300000,이메일,2022-08-10
신동현,010-8973-3536,신동현34@kakao.com,경기도 성남시 분당구,56,Bronze,뷰티·헬스 / 전자제품,2,690000,제휴몰,2021-01-17
박지우,010-2122-2113,박지우96@naver.com,부산광역시 해운대구 우동,58,Bronze,전자제품 / 뷰티·헬스,3,950000,제휴몰,2024-06-09
조지민,010-4910-5351,조지민60@naver.com,경상남도 진주시 초전동,51,Bronze,패션의류 / 전자제품,15,6630000,검색광고,2020-09-07
안예린,010-3170-6718,안예린18@naver.com,인천광역시 연수구 송도동,32,Silver,스포츠 / 뷰티·헬스,17,2890000,제휴몰,2022-11-04
정예린,010-2891-2753,정예린80@naver.com,인천광역시 연수구 송도동,35,Gold,식품·음료 / 도서·문구,9,2910000,검색광고,2020-11-14
장서연,010-1058-6464,장서연26@kakao.com,경기도 안양시 동안구,50,Silver,도서·문구 / 스포츠,1,150000,SNS,2024-01-27
오수현,010-3426-8041,오수현26@gmail.com,인천광역시 연수구 송도동,24,Gold,식품·음료 / 도서·문구,8,1410000,제휴몰,2023-10-24
정현우,010-3662-3900,정현우62@gmail.com,경기도 안양시 동안구,43,Gold,도서·문구 / 가구·인테리어,8,1620000,검색광고,2023-01-28
